Name,Duration,IsExplicit,Id,Uri,Artists,MainArtistName,MainArtistId,Album,AlbumId,PlayedAt
Efecto,213061,false,5Eax0qFko2dh7Rl2lYs3bx,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,"[{""name"": ""Bad Bunny"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X"", ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""type"": ""artist"", ""id"": ""4q3ewBCX7sLwd24euuV69X""}]",Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,spotify:album:3RQQmkQEvNCY4prGKE6oc5,2022-06-24T03:07:37.073Z
La Corriente,198367,true,1797zYiX4cKosMH836X9Gt,spotify:track:1797zYiX4cKosMH836X9Gt,"[{""name"": ""Bad Bunny"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X"", ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""type"": ""artist"", ""id"": ""4q3ewBCX7sLwd24euuV69X""}, {""name"": ""Tony Dize"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/3LKXWvXFWrkwUzJWxzwVpW""}, ""uri"": ""spotify:artist:3LKXWvXFWrkwUzJWxzwVpW"", ""href"": ""https://api.spotify.com/v1/artists/3LKXWvXFWrkwUzJWxzwVpW"", ""type"": ""artist"", ""id"": ""3LKXWvXFWrkwUzJWxzwVpW""}]",Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,spotify:album:3RQQmkQEvNCY4prGKE6oc5,2022-06-24T03:04:04.107Z
Neverita,173119,false,31i56LZnwE6uSu3exoHjtB,spotify:track:31i56LZnwE6uSu3exoHjtB,"[{""name"": ""Bad Bunny"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X"", ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""type"": ""artist"", ""id"": ""4q3ewBCX7sLwd24euuV69X""}]",Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,spotify:album:3RQQmkQEvNCY4prGKE6oc5,2022-06-24T03:00:46.078Z
Tarot,237894,false,41oY4WCTj5kccfesTVFnvN,spotify:track:41oY4WCTj5kccfesTVFnvN,"[{""name"": ""Bad Bunny"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X"", ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""type"": ""artist"", ""id"": ""4q3ewBCX7sLwd24euuV69X""}, {""name"": ""Jhay Cortez"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0EFisYRi20PTADoJrifHrz""}, ""uri"": ""spotify:artist:0EFisYRi20PTADoJrifHrz"", ""href"": ""https://api.spotify.com/v1/artists/0EFisYRi20PTADoJrifHrz"", ""type"": ""artist"", ""id"": ""0EFisYRi20PTADoJrifHrz""}]",Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,spotify:album:3RQQmkQEvNCY4prGKE6oc5,2022-06-24T02:57:53.094Z
Tarot,237894,false,41oY4WCTj5kccfesTVFnvN,spotify:track:41oY4WCTj5kccfesTVFnvN,"[{""name"": ""Bad Bunny"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X"", ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""type"": ""artist"", ""id"": ""4q3ewBCX7sLwd24euuV69X""}, {""name"": ""Jhay Cortez"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0EFisYRi20PTADoJrifHrz""}, ""uri"": ""spotify:artist:0EFisYRi20PTADoJrifHrz"", ""href"": ""https://api.spotify.com/v1/artists/0EFisYRi20PTADoJrifHrz"", ""type"": ""artist"", ""id"": ""0EFisYRi20PTADoJrifHrz""}]",Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,spotify:album:3RQQmkQEvNCY4prGKE6oc5,2022-06-24T02:53:24.056Z
Enséñame a Bailar,176000,false,2NMjggapJcXXM7WccGEBUO,spotify:track:2NMjggapJcXXM7WccGEBUO,"[{""name"": ""Bad Bunny"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X"", ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""type"": ""artist"", ""id"": ""4q3ewBCX7sLwd24euuV69X""}]",Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,spotify:album:3RQQmkQEvNCY4prGKE6oc5,2022-06-23T02:13:00.236Z
Aguacero,210989,false,2uflssWlCaJ6CbTMOsUpNI,spotify:track:2uflssWlCaJ6CbTMOsUpNI,"[{""name"": ""Bad Bunny"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X"", ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""type"": ""artist"", ""id"": ""4q3ewBCX7sLwd24euuV69X""}]",Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,spotify:album:3RQQmkQEvNCY4prGKE6oc5,2022-06-22T21:15:42.105Z
Party,227628,false,4tYFy8ALRjIZvnvSLw5lxN,spotify:track:4tYFy8ALRjIZvnvSLw5lxN,"[{""name"": ""Bad Bunny"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X"", ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""type"": ""artist"", ""id"": ""4q3ewBCX7sLwd24euuV69X""}, {""name"": ""Rauw Alejandro"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/1mcTU81TzQhprhouKaTkpq""}, ""uri"": ""spotify:artist:1mcTU81TzQhprhouKaTkpq"", ""href"": ""https://api.spotify.com/v1/artists/1mcTU81TzQhprhouKaTkpq"", ""type"": ""artist"", ""id"": ""1mcTU81TzQhprhouKaTkpq""}]",Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,spotify:album:3RQQmkQEvNCY4prGKE6oc5,2022-06-22T21:12:11.103Z
Efecto,213061,false,5Eax0qFko2dh7Rl2lYs3bx,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,"[{""name"": ""Bad Bunny"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X"", ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""type"": ""artist"", ""id"": ""4q3ewBCX7sLwd24euuV69X""}]",Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,spotify:album:3RQQmkQEvNCY4prGKE6oc5,2022-06-22T21:08:24.040Z
La Corriente,198367,true,1797zYiX4cKosMH836X9Gt,spotify:track:1797zYiX4cKosMH836X9Gt,"[{""name"": ""Bad Bunny"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X"", ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""type"": ""artist"", ""id"": ""4q3ewBCX7sLwd24euuV69X""}, {""name"": ""Tony Dize"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/3LKXWvXFWrkwUzJWxzwVpW""}, ""uri"": ""spotify:artist:3LKXWvXFWrkwUzJWxzwVpW"", ""href"": ""https://api.spotify.com/v1/artists/3LKXWvXFWrkwUzJWxzwVpW"", ""type"": ""artist"", ""id"": ""3LKXWvXFWrkwUzJWxzwVpW""}]",Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,spotify:album:3RQQmkQEvNCY4prGKE6oc5,2022-06-22T21:04:51.038Z
Neverita,173119,false,31i56LZnwE6uSu3exoHjtB,spotify:track:31i56LZnwE6uSu3exoHjtB,"[{""name"": ""Bad Bunny"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X"", ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""type"": ""artist"", ""id"": ""4q3ewBCX7sLwd24euuV69X""}]",Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,spotify:album:3RQQmkQEvNCY4prGKE6oc5,2022-06-22T21:01:32.042Z
Tarot,237894,false,41oY4WCTj5kccfesTVFnvN,spotify:track:41oY4WCTj5kccfesTVFnvN,"[{""name"": ""Bad Bunny"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X"", ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""type"": ""artist"", ""id"": ""4q3ewBCX7sLwd24euuV69X""}, {""name"": ""Jhay Cortez"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0EFisYRi20PTADoJrifHrz""}, ""uri"": ""spotify:artist:0EFisYRi20PTADoJrifHrz"", ""href"": ""https://api.spotify.com/v1/artists/0EFisYRi20PTADoJrifHrz"", ""type"": ""artist"", ""id"": ""0EFisYRi20PTADoJrifHrz""}]",Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,spotify:album:3RQQmkQEvNCY4prGKE6oc5,2022-06-22T20:58:39.033Z
